h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,household_adults,household_children,employment_industry,employment_occupation
1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,35 - 44 Years,College Graduate,White,Male,"> $75,000",Married,Own,Employed,lzgpxyit,"MSA, Not Principle  City",2.0,1.0,atmlpfrs,kldqjyjy
2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0,,3.0,1.0,1.0,5.0,1.0,1.0,65+ Years,12 Years,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,lzgpxyit,"MSA, Not Principle  City",0.0,0.0,,
2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,4.0,1.0,5.0,1.0,1.0,18 - 34 Years,Some College,White,Female,"> $75,000",Married,Own,Not in Labor Force,qufhixun,Non-MSA,1.0,2.0,,
2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,5.0,4.0,2.0,2.0,45 - 54 Years,< 12 Years,White,Female,"<= $75,000, Above Poverty",Married,Rent,Not in Labor Force,lzgpxyit,Non-MSA,1.0,1.0,,
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,45 - 54 Years,Some College,White,Male,"> $75,000",Married,Rent,Employed,lzgpxyit,"MSA, Not Principle  City",1.0,1.0,xqicxuve,uqqtjvyb
3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,55 - 64 Years,12 Years,White,Male,"<= $75,000, Above Poverty",Not Married,Own,Employed,lrircsnp,"MSA, Principle City",1.0,0.0,xicduogh,qxajmpny
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,4.0,1.0,5.0,4.0,2.0,45 - 54 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Employed,lzgpxyit,"MSA, Not Principle  City",0.0,0.0,wxleyezf,emcorrxb
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,5.0,2.0,1.0,18 - 34 Years,College Graduate,Black,Male,,Not Married,Rent,Not in Labor Force,bhuqouqj,"MSA, Principle City",0.0,0.0,,
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,5.0,4.0,1.0,65+ Years,12 Years,White,Female,,Not Married,Own,Not in Labor Force,bhuqouqj,"MSA, Not Principle  City",0.0,0.0,,
2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,,,,1.0,4.0,4.0,1.0,2.0,4.0,18 - 34 Years,,Black,Female,,,,,bhuqouqj,"MSA, Not Principle  City",1.0,1.0,,
2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,4.0,4.0,1.0,18 - 34 Years,12 Years,White,Male,"<= $75,000, Above Poverty",Married,Own,Unemployed,fpwskwrf,"MSA, Not Principle  City",1.0,3.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,3.0,1.0,2.0,5.0,1.0,1.0,45 - 54 Years,,Hispanic,Female,,,,,lzgpxyit,"MSA, Not Principle  City",3.0,3.0,,
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,3.0,1.0,4.0,2.0,1.0,35 - 44 Years,College Graduate,Other or Multiple,Female,"<= $75,000, Above Poverty",Not Married,Own,Employed,mlyzmhmf,Non-MSA,0.0,2.0,arjwrbjb,
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,2.0,4.0,4.0,4.0,4.0,35 - 44 Years,College Graduate,White,Male,"> $75,000",Married,Own,Unemployed,bhuqouqj,"MSA, Not Principle  City",1.0,2.0,,
2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,65+ Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,qufhixun,"MSA, Not Principle  City",1.0,0.0,,
2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,5.0,4.0,4.0,2.0,1.0,18 - 34 Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Rent,Employed,oxchjgsf,Non-MSA,1.0,3.0,cfqqtusy,hfxkjkmi
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,5.0,2.0,2.0,65+ Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,atmpeygn,Non-MSA,0.0,0.0,,
3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,0.0,1.0,0.0,,1.0,4.0,1.0,5.0,4.0,5.0,55 - 64 Years,College Graduate,White,Female,"> $75,000",Married,Own,Employed,lrircsnp,"MSA, Principle City",2.0,0.0,qnlwzans,xtkaffoo
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,65+ Years,12 Years,Black,Male,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,kbazzjca,"MSA, Principle City",1.0,0.0,,
2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,4.0,2.0,2.0,4.0,1.0,1.0,55 - 64 Years,< 12 Years,White,Female,,Married,Own,Employed,lzgpxyit,"MSA, Not Principle  City",1.0,0.0,fcxhlnwr,haliazsg
0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,1.0,1.0,2.0,2.0,1.0,35 - 44 Years,,White,Female,,,,,atmpeygn,Non-MSA,1.0,2.0,,
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,2.0,2.0,4.0,4.0,1.0,18 - 34 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Rent,Employed,fpwskwrf,"MSA, Principle City",0.0,0.0,fcxhlnwr,oijqvulv
2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,45 - 54 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Employed,lrircsnp,"MSA, Not Principle  City",1.0,1.0,fcxhlnwr,cmhcxjea
3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,4.0,1.0,5.0,5.0,4.0,55 - 64 Years,Some College,White,Female,,Married,Own,Employed,dqpwygqj,"MSA, Not Principle  City",3.0,0.0,fcxhlnwr,cmhcxjea
2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,65+ Years,12 Years,White,Female,"<= $75,000, Above Poverty",Married,,Not in Labor Force,atmpeygn,Non-MSA,1.0,0.0,,
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,4.0,4.0,1.0,2.0,18 - 34 Years,Some College,Other or Multiple,Male,"> $75,000",Not Married,Own,Not in Labor Force,dqpwygqj,"MSA, Not Principle  City",0.0,0.0,,
1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,5.0,2.0,2.0,18 - 34 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,dqpwygqj,"MSA, Not Principle  City",1.0,0.0,,
2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,5.0,2.0,4.0,65+ Years,< 12 Years,White,Female,Below Poverty,Not Married,Rent,Not in Labor Force,fpwskwrf,"MSA, Principle City",2.0,0.0,,
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,4.0,2.0,1.0,2.0,2.0,1.0,18 - 34 Years,Some College,White,Male,"> $75,000",Not Married,Own,Employed,qufhixun,"MSA, Principle City",2.0,0.0,wxleyezf,ukymxvdu
1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,4.0,1.0,2.0,4.0,2.0,2.0,55 - 64 Years,,White,Female,,,,,lzgpxyit,"MSA, Not Principle  City",1.0,0.0,,
1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,4.0,1.0,2.0,4.0,4.0,5.0,45 - 54 Years,College Graduate,Other or Multiple,Male,"<= $75,000, Above Poverty",Not Married,Rent,Employed,oxchjgsf,"MSA, Principle City",0.0,0.0,xqicxuve,uqqtjvyb
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,2.0,2.0,45 - 54 Years,12 Years,White,Female,Below Poverty,Not Married,Rent,Unemployed,fpwskwrf,"MSA, Not Principle  City",0.0,0.0,,
2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,1.0,4.0,4.0,2.0,4.0,35 - 44 Years,College Graduate,White,Female,"> $75,000",Married,Own,Not in Labor Force,kbazzjca,"MSA, Not Principle  City",1.0,0.0,,
2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,3.0,3.0,2.0,5.0,2.0,2.0,65+ Years,Some College,White,Male,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,oxchjgsf,"MSA, Not Principle  City",0.0,0.0,,
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,35 - 44 Years,12 Years,White,Female,,Married,,Employed,kbazzjca,"MSA, Not Principle  City",1.0,1.0,wxleyezf,
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,5.0,4.0,4.0,65+ Years,College Graduate,White,Female,"> $75,000",Married,Own,Not in Labor Force,kbazzjca,Non-MSA,1.0,0.0,,
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1.0,5.0,4.0,5.0,5.0,4.0,2.0,65+ Years,< 12 Years,White,Male,,Married,Own,Not in Labor Force,qufhixun,"MSA, Principle City",2.0,2.0,,
1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,65+ Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,fpwskwrf,"MSA, Not Principle  City",1.0,0.0,,
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,4.0,5.0,1.0,18 - 34 Years,Some College,White,Female,"> $75,000",Not Married,Own,Not in Labor Force,fpwskwrf,"MSA, Not Principle  City",2.0,1.0,,
1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,4.0,1.0,4.0,4.0,4.0,2.0,35 - 44 Years,Some College,White,Female,Below Poverty,Not Married,Rent,Unemployed,qufhixun,"MSA, Not Principle  City",0.0,1.0,,
2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,4.0,4.0,2.0,1.0,18 - 34 Years,Some College,Hispanic,Male,"> $75,000",Not Married,Own,Not in Labor Force,mlyzmhmf,"MSA, Principle City",2.0,0.0,,
2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,4.0,2.0,2.0,45 - 54 Years,College Graduate,White,Male,,Married,Own,Employed,kbazzjca,"MSA, Not Principle  City",3.0,1.0,xqicxuve,uqqtjvyb
2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,35 - 44 Years,Some College,White,Female,"> $75,000",Married,Own,Employed,qufhixun,Non-MSA,1.0,1.0,mfikgejo,mxkfnird
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,4.0,1.0,65+ Years,12 Years,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,atmpeygn,"MSA, Principle City",0.0,0.0,,
3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,,4.0,4.0,4.0,5.0,5.0,4.0,35 - 44 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,lzgpxyit,Non-MSA,1.0,2.0,fcxhlnwr,haliazsg
1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,0.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,2.0,55 - 64 Years,College Graduate,Black,Female,"> $75,000",Married,Own,Employed,lzgpxyit,"MSA, Not Principle  City",1.0,2.0,wxleyezf,emcorrxb
3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,5.0,4.0,5.0,5.0,4.0,1.0,55 - 64 Years,College Graduate,White,Female,Below Poverty,Not Married,Rent,Not in Labor Force,bhuqouqj,"MSA, Principle City",2.0,0.0,,
2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,5.0,4.0,1.0,35 - 44 Years,12 Years,White,Female,"> $75,000",Married,Own,Not in Labor Force,lzgpxyit,"MSA, Principle City",1.0,2.0,,
2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,4.0,2.0,2.0,4.0,2.0,2.0,45 - 54 Years,12 Years,White,Female,Below Poverty,Not Married,Rent,Not in Labor Force,kbazzjca,Non-MSA,1.0,0.0,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,2.0,2.0,1.0,1.0,1.0,1.0,35 - 44 Years,,Black,Female,,,,,fpwskwrf,"MSA, Not Principle  City",,,,
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,4.0,4.0,3.0,1.0,65+ Years,< 12 Years,White,Male,,Married,Rent,Not in Labor Force,oxchjgsf,"MSA, Not Principle  City",1.0,0.0,,
2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,4.0,4.0,2.0,4.0,4.0,2.0,55 - 64 Years,12 Years,White,Male,"<= $75,000, Above Poverty",Married,Own,Employed,atmpeygn,"MSA, Not Principle  City",1.0,0.0,arjwrbjb,dlvbwzss
2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,4.0,2.0,2.0,5.0,2.0,2.0,65+ Years,College Graduate,White,Male,,Married,Own,Not in Labor Force,mlyzmhmf,"MSA, Not Principle  City",1.0,0.0,,
2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,4.0,4.0,2.0,4.0,4.0,2.0,35 - 44 Years,College Graduate,White,Male,"> $75,000",Married,Own,Employed,oxchjgsf,Non-MSA,1.0,3.0,xqicxuve,xtkaffoo
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,35 - 44 Years,Some College,White,Male,"> $75,000",Married,Own,Employed,qufhixun,"MSA, Not Principle  City",1.0,1.0,atmlpfrs,rcertsgn
0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,3.0,2.0,2.0,5.0,2.0,1.0,65+ Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,qufhixun,"MSA, Not Principle  City",1.0,0.0,,
2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,55 - 64 Years,College Graduate,White,Female,"> $75,000",Married,Own,Employed,lzgpxyit,"MSA, Not Principle  City",1.0,0.0,arjwrbjb,kldqjyjy
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,18 - 34 Years,College Graduate,White,Male,"<= $75,000, Above Poverty",Not Married,Own,Not in Labor Force,lzgpxyit,"MSA, Principle City",2.0,0.0,,
0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,5.0,5.0,1.0,55 - 64 Years,12 Years,White,Female,Below Poverty,Not Married,Own,Employed,oxchjgsf,"MSA, Principle City",0.0,0.0,ldnlellj,xtkaffoo
2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,4.0,4.0,4.0,5.0,4.0,18 - 34 Years,12 Years,White,Female,Below Poverty,Not Married,Own,Employed,bhuqouqj,"MSA, Not Principle  City",3.0,0.0,cfqqtusy,mxkfnird
2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,5.0,2.0,2.0,4.0,2.0,1.0,65+ Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Married,Own,Not in Labor Force,bhuqouqj,"MSA, Not Principle  City",1.0,0.0,,
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,2.0,2.0,45 - 54 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Unemployed,lrircsnp,Non-MSA,0.0,1.0,,
2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,3.0,1.0,1.0,18 - 34 Years,12 Years,Hispanic,Female,,Not Married,Rent,Not in Labor Force,bhuqouqj,Non-MSA,1.0,3.0,,
3.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,4.0,4.0,1.0,45 - 54 Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Not Married,Rent,Employed,bhuqouqj,"MSA, Principle City",2.0,0.0,arjwrbjb,bxpfxfdn
0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,18 - 34 Years,Some College,White,Male,Below Poverty,Not Married,Rent,Employed,dqpwygqj,"MSA, Principle City",1.0,0.0,mfikgejo,hfxkjkmi
3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,4.0,4.0,4.0,4.0,18 - 34 Years,College Graduate,Other or Multiple,Male,"> $75,000",Married,Own,Employed,qufhixun,"MSA, Principle City",1.0,1.0,ldnlellj,ccgxvspp
2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,1.0,55 - 64 Years,College Graduate,White,Female,,Married,Own,Not in Labor Force,lrircsnp,"MSA, Not Principle  City",1.0,0.0,,
2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,4.0,2.0,1.0,4.0,2.0,2.0,65+ Years,College Graduate,White,Female,"<= $75,000, Above Poverty",Not Married,Own,Employed,lrircsnp,"MSA, Principle City",0.0,0.0,vjjrobsf,oijqvulv
1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,2.0,1.0,1.0,55 - 64 Years,Some College,White,Female,,Not Married,Own,Not in Labor Force,kbazzjca,"MSA, Not Principle  City",0.0,0.0,,
1.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,,,3.0,3.0,,,,,65+ Years,,White,Male,,,,,atmpeygn,"MSA, Not Principle  City",1.0,0.0,,
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,1.0,1.0,1.0,1.0,35 - 44 Years,12 Years,Black,Female,Below Poverty,Married,Rent,Employed,lzgpxyit,"MSA, Principle City",1.0,0.0,fcxhlnwr,mxkfnird
2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,45 - 54 Years,Some College,White,Female,"<= $75,000, Above Poverty",Married,Own,Employed,oxchjgsf,Non-MSA,2.0,0.0,wxleyezf,kldqjyjy
3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,65+ Years,< 12 Years,Black,Female,Below Poverty,Married,Rent,Not in Labor Force,lzgpxyit,Non-MSA,1.0,0.0,,
